blogs,points
瓶颈期一旦越过，就又是一个大发展的时期了。,0
娘们，,1
象哥懂得，不解释……,0
弱弱的回一句，有时我也很想微博挂掉啊。我们也累死了！,2
哈哈小心你们老板看到^_^,5
哪能才贼特兮兮额啦,4
开米仔报上名来！,0
你原本那双跟右边那只差不多啦，买左边就好。,1
心里舒坦了。,5
我准备卖你的,0
卖我的？什么？,4
已经无聊一天的说,2
那也不怕多无聊会,3
那我就提供了三日游的高标准的住宿费哟！,5
哈哈…是啊，陈小佳消费的时候会把你铭记在心的,5
真是好同学~,5
哈哈，谢谢领导。,5
南方都市报的记者就这水平啊！！,3
不可思议啊，党报竞有这有这样的工作人员？！,3
你的车感也不错，都是倒车着去武汉的，汗。,1
别咬文爵字，弟我没读什么书的,4
这句话说的很有内涵,0
有人出生就有人死亡，有人结婚也就有人分离,0
我的假期到春节后呢，呵呵呵,5
不公平，这个世界不公平！,3
味道如何?,1
真心好吃，现场做的,1
好来本来想洗洗睡的被你这么一说我也去次了,0
我冰箱里还有两袋子鸭脖子。罪孽啊罪孽,2
哈哈哈以后以后会的会的,5
什么啊？？,4
点解要到5点？,0
唉，宜家唔使5点了，虽然在痛，但护士话宫口没有继续开,2
你奔四了，这位大叔,0
男人四十一朵花，本人正在含苞待放,0
可不可以爱我,1
翻拍我的！我告你翻拍！,4
因为明天的演出没啦,2
那是绝对的值得兴奋的，贺老师也回来了闹？,1
恭喜！恭喜！快点康复吧！,5
嘿嘿摁摁,5
小孩子总是乱说话！鄙视！,3
我那叫自愿的吗？还不是你威胁的,4
深刻,0
一边厢害羞，一边厢陶醉。在你的音乐里。,1
当我赶到时，你们刚走,0
真不巧哈哈改天咱再组织走一个~,5
娘耶，你竟然拿粉红色的手机,1
啃爹啊亲你伤蓝我的心,4
那蝴蝶结太萌了！,1
哈哈，哈利是萌少男！,5
明显是正餐,0
那你身材好的.,1
不然呢，我又不想你，是吧。哈哈,2
你倍棒啊。,1
可现在佛教被谁控制了呢？,3
看来你不是冲着佛教来的，不和你谈。,3
自己贴！！便宜很多很多！,1
哎…就怕贴不好啊！我手工活不在行的而且我还想弄个立体的花在上面了,2
这么难懂的讲~,3
主要是我没搞清楚具体咋么回事只好往玄了说,4
放下屠刀，立地成佛！,0
可惜写了很多字不让我发表只能简单几句,2
真没追求！从来只靠人品拼考试的路过…,3
看来人品不咋滴,3
姐姐我睡觉了。。,0
不要梦到我我会吓到,2
这么一看还真像！,1
长头发的时候更像呢,0
这本工具书是做什么用的？,0
是宫里妃子们争宠~床头必备的,0
穿这么多？,1
本还想穿，但觉得实在太不好意思了,3
不用，谢谢哦！玩得开心就好！,5
谢谢姐姐，动力更强大了，争取在鸟巢搞点艳遇,1
是呀我见到他,2
骗人！你来的话肯定会找我的,4
不然~我可是一个既保守又顾家的好男人~,3
散片的真谛就是即能顾家保守，又能抛家舍业,0
哈哈哈，好说好说，我明儿去买张彩票。,5
哈哈。好好好，赶紧传给我我需要好运,5
流口水中，食欲,2
"上海也有不少好吃的新疆菜,有空一起整.",1
从诗词歌赋谈到人生哲学…,0
可惜我不是内谁...哈哈,2
哥哥你最好了..,1
等会我问她拿来看看,0
那就在家好好休息哦正好你们的国庆到来啦啦养好身体来见我哈哈,5
恩。最近各种悲惨。,2
你还舔着脸呢。。,3
有你这么说媳妇的嘛，再说了那大高楼我不舔着脸能看到上边的字吗？,3
你的头像,3
哈哈哈。我也装萌下啊。,5
吹哥摆明赖死不走,3
眼训又肚饿吖寻晚。。。,2
我是黑色，从来没有守住过财。。你知道的,2
唉。。,2
这是顾先生的一道测试题，还是顾先生想处理一起命案呢？,3
不是测试。我不会搞那种捉弄人的东西。,3
这个城市的冬天总是忽远又忽近的，突然好想去江滩散步啊。,2
你又有好推荐？,1
那是，我是大美尼。,1
么么么么死,3
马克西姆,0
不认识只认识贝克汉姆--。,0
老板娘很喜欢摩托,1
这个只能算花边新闻，好不好！吃的东西怎么样？,3
"嘻嘻,我下午就要干掉它,个么侬来呀~",5
苦逼的走亲访友人伤不起啊,2
老江湖了,0
突然间很喜欢这首歌，很有感触,1
什么小区啊，还有电影看啊,3
在乡下啊，小区管理还可以，搞的比较人性化,3
恩那是属于我们美好的回忆爱死你们拉,1
我也爱你,1
你这么早起来对到墨镜梳头啊？,3
我叼……你让我姐少讲那么冷的笑话！,3
同问,1
最喜跟美女一起喝梅子酒。她们好喜欢喝，好容易醉。,1
那就收了他……,0
哎，我睡着了被他的叫声吓醒好几次，擦！,2
毛病刚好就吃辣的？,0
实在熬不牢的！,3
你的意思是天朝一直这样下去？,3
请读一毛的文章，你是急于表达的一类人？我批评的就是你这种的。,3
本质区别是对不起该敏感词已被屏蔽,0
这叫民主制度的本质区别？这充其量是民主状况的区别。,3
还好。就是很小。,1
有点不敢坐小飞机，坐100多人的都常内心默默祈祷，我怕死呵呵,2
说白了就没意思了,0
恩。我们做的事情死的那一天。有多少是值得的唉？,2
谢谢鼓励了才籽,1
才女，你总是给我带来惊喜~,1
好漂亮，做我媳妇就好了，哈哈,1
谢谢，你不是女的么？,1
你们说的对。,0
有偏差的人生观和价值观的人才丢人呢！对吧！,3
来来来，唠嗑唠嗑,0
我失眠很痛苦的好吧,2
这是哪的,0
我以前做过的时装发布会,0
美了很多啊,1
谢谢咯~~,5
我修100遍也考不出...,2
哈哈，我也是,5
估计当今世上只有您和师哥才行啊,0
你师妹在夸你，哈哈哈,1
那剪头发很无聊嘛。。。你老是打错我的名字,3
那剪头发很无聊嘛。。。你老是打错我的名字,3
你能为张老师做辩护人吗,0
我是会始终支持张老师的，这点立场绝对不会变的。,1
笑的时候很像啊！,5
哈哈以后比着这种笑给我找男人吧~,5
有人陪着去上班，真幸福啊,5
哎，是呀，我闭着眼睛跟他聊天,2
鸡哥你们情侣表,0
几十万？不大认识香奈儿的表,0
什么什么？你怎么个情况？,4
什么怎么个情况。差不多就行了。还能怎么滴。,4
得多了可能有特权哦！虽然我还不知道有什么特权!,3
特权的要干嘛？神马都是浮云,4
你的小严受伤了,0
谁伤到你了！我去揍他！！,4
少了一个字亲！,0
哈哈，这个不用亲。亲,5
三杯红酒下肚,0
哎哟，弄酒量特擦叻,3
做小猪不挺好的吗？,2
考拉更能有理由睡觉觉！！！,1
哈哈好知道了,5
不过适时的改变一下形象也挺好的，新年新气象么！哈哈祝你春节愉快！,1
过了海南的椰子，那价格啊。成倍成倍的增,1
破飞、你别馋我、小心我十一跑你家吃霸王椰子去,4
你这是在哪,0
哈哈，忘了说是公司新买的鞋…,5
那就真的一个单位了，这样吧，你说你的吧，我就当不认识好了,0
那你就不能说穿下你是哪位？别搞这么神秘，你不会知道我是哪个把？,3
真的假的，真这么催泪,3
"对啊,真的很惨,又或者我太多愁伤感!",2
人才，想出名了,1
管理人员要想法做点警示标记才对,0
晚上了,0
哈哈在巴厘岛时间是静止的,5
你可以和老叶摆条,0
那个势利的女人环绕在老白周围,3
脸吃胖了更出不来了,0
浮现出松鼠塞满腮帮子的画面,0
贱男！买春都要用老婆的钱，死了算了,4
靠，男人活成，赶紧拿把菜刀把拿货剁了吧！当太监不错,4
还有限购了，限号了，还会有啥呢？,3
人口在猛增，车量在猛增，下一步肯定会税比车贵！,3
2小时了，怎么还没有啊？,2
主要是等待太漫长，等来了又是一阵大海捞针般找，眼睛酸啊。,2
你不减肥咩~,3
在等几天！哈哈！,5
以后带妹子淋雨才浪漫，你这当老子的，不懂味。,3
妈妈和爸爸的区别就在于此。,0
你那时好像是去做国庆直播报道？,0
还是领导记忆力好啊。当记者的岁月还是挺让人怀念的比当主持人有意思,1
你搞咩啊,3
大个女，去做八爪鱼~,0
里昂啊~,5
所有生化危机游戏的主角，去了电影就变配角，因为爱丽丝无敌的！,1
你自己已经有了。不用给你,0
猪猪侠你好猪猪侠再见！,1
兄弟，这么带劲的活动以后得叫上哥们啊,1
一定，一定！,1
你都不敢公布答案啊,4
谁说要公布答案了？你公布了吗？,4
又出新题,0
是的，10.8预测整理中，近期推出~,0
新闻联,0
难道北约的轰炸是谎言？,4
原来这是你放学叫我的原因！,2
好饱阿~我很满足!,5
你怎么搞的,4
你咋不心疼我的，来句人话啊你~~,2
当然是一个人啦，又没人陪,0
可怜啊兮兮啊,2
很长时间没来了，还挺想你的,1
呵呵，明天一场戏，一早拍完就可以回家歇几天了。,5
我那一家之主有无去报到呢？,2
没来，在大堂有270度动感投影！.,1
老骨头……,3
你以为你还年轻么？,3
回乌鲁木齐啦？还去其他地方吗？,4
唉，冬冬一家已经走喽……,2
唉偶也属于奶奶辈滴,2
哈哈哈，快，你们互加一下,5
哈哈，好可爱的妹…,5
"可爱的人不漂亮哦,你说我到底是可爱还是漂亮?",1
神马情况,3
神马都是浮云。。啊等回去聚会跟你说哈哈哈总而言之让不开心的去死,5
六六姐怎样像您一样，成为一位优秀的作家？,1
把自己擅长的事做到最好，然后等待被读者选择。,0
难过，我们这已经把所有人都各种折磨过了。,2
哈哈~~今年过年我回家又一年多没见了好好聚给,5
我以为你悄悄呢就跑了,4
咋个都要克看看你嘛！,3
我有一个可以折叠的洗脸盆，给婴儿洗澡是可以的,0
你跟此人询问详情。,0
哈？冬天还能下雨？,0
雪貌似盼不来啦只能指望雨了,2
哈哈。为什么不是你请我呀,5
哈哈可以啊'咱去吃捞啊！看你们庆功宴那天吃的我都流了好几天口水了,5
原来内心强大需要一个牙刷来防身。学会了,0
哈哈，你可以带着它试试！,5
哇烫卷啦多了一分女人味,5
我看着自己的头发觉得有点哈宁！,2
祝你高考顺利.能不复读还是不要复读咯,1
我直接给我妈说，你逼我复读我就自杀，绝不食言,4
6日咋挂...,4
是的!我太激动了!的确六日!,5
你有什么坏习惯要改？,3
减肥拖延症！,0
是是。老板说的是！,0
这个问题探讨到此为止！,0
绯弹的亚利亚电波女与青春男看完,0
上周5就看完了,0
我要我要,2
要你妈楼跑啊,4
请问具体位置在哪啊？还有就是到七月份买票还能买到吗？,0
上海浦东，票的时要问组委会领导,0
观音缘何当小三，梁王夫妇不得不说的秘密~,0
请梁王做出解释，我们需要真相,0
红酒还有这功效？,0
红酒是酸性，能收敛上浮头部的阳气。故能治愈头疼。,0
我还是爱吃~,1
吃屎吃不吃,3
你7点不到就起床发围脖了啊。。。,4
岁数大了，早睡早起。,0
冷色系，你喜欢吗？哈哈,0
喜欢就要去光顾啊妹,1
我8岁您老这张脸我28岁您老还是这张脸。。。,2
是啊，可惜我们已经不是那张脸,2
你？,1
男生有中性的说法？,0
这头像咋这样了？,3
你头像不也搞成这样了？,3
哪一幕啊,0
今天早上看见我奶奶家的狗被撞了看得我...好可怜的,2
炒菜的时候要注意上面的烟雾报警器。,0
我还曾经误拨了电话结果警察来了！,4
还是不爱，爱的话就被折腾也是愿意的,1
哈哈，你赶紧找个男朋友去感觉下是不是这么回事,5
你要火！,0
介么一张明星脸肿么就木有男粉丝,3
就系吾见你沟女迷问你呢期沟边个咯,4
5话你知等你心思思,0
体育新闻赵天嘛。要介绍你识吗？,3
哈哈，你开玩笑的吧,5
我又回公司加班了,4
可怜的孩儿啊，让你着急走的。,2
笑点好低啊,5
是比不上你那个家里三缺一不能打牌就决定再生个出来的构想搞笑雷人。。,3
是吧是吧，度分秒如年啊,0
现在准备三人123了,0
是不是只有你们这领导才有进修的资格啊？,3
你活在什么世界里周围的咨询。。。不要乱说,3
"哈哈哈,现在不都流行这么说么?",5
惭愧惭愧，俺还在诺基亚呢,2
这首歌可以开心下了，三爷。,1
三爷在这儿呢，嗯，歌好听！,1
我的拿去修了,2
电脑里的艳照怎么办！,4
书生，生日快乐！快快乐乐每一天~,1
谢谢姐姐！你也是，快乐美丽的过每一天！,1
这次真的有点太没水准了…,3
就是啊，支持了这么多年真是太让我失望了,1
你屁呢！,3
这打击也来的太迅速了点！,3
团子魂都被磨没了哎,2
团饭非被那些黑饭给折磨死,3
嗯嗯，既然认定了，又何必去更改~,2
因为他教育我什么叫做人，昨天黄贯中才说我心态好！哈哈,3
我相信你比他跑得快！哈哈,1
哈哈，的确！,5
国家阴谋,0
没事，知识就是力量,0
档案室？怀念的……,2
啥时候能在一起吃呀,0
江天婵啊,0
"猜是上届的,但我不认识,这个美女很养眼.",1
当然！！,1
留意落班后！,0
哈哈求表态,5
中了，会请小编和吃饭,0
嗯嗯，老实在家呆着吧,5
其实我还是很怀念动车的,2
哈哈，8787下手太轻了，怎么没把你毒死啊！,5
良心噶黑阿，果然最毒妇人心,3
去你的！你现在贬人越来越厉害,3
哎。。。一点都没信任感,2
中暑谁会去医院啊？他毛病迈,3
他要没毛病。怎么叫脑残呢,4
朝鲜半岛是清朝时期的属国，最后一个总督是袁世凯。,0
这有历史记载，棒子还一天的叫，鄙视！,3
甘你记录左几多啊？,2
我就正在后悔当年为什么只顾着复习,2
洪老师启当过兵？,0
90年春季兵，武警。,0
我现在最大的梦想就是休假一个月，然后去我想去的地方游玩。,2
祝你梦想成真。,1
当然不会，也不能死，刚上网看了剧透，辣姜被捕了,3
这个大坏蛋警方的败类就该被捕,4
你化妆了啊？？谁帮你化的啊？,4
小小的化了一下，在妆点化地，嘿嘿！,5
弄得哭笑不得。,3
面上在哭，心里在笑。看起来哭笑不得。,5
哪里麻木~我见你对帅哥还是很有激情的啊哈哈,1
哈哈哈。点崩我！,5
哈哈，你也是宝马哥啊,5
我可从不乱停车的！,4
我老公沉迷其中了，我孤独了,2
我也没搞懂这有啥好看的上学时就最烦被拉去当公证人,3
是啊！天下的爸爸似乎都和女儿特别亲！,1
男人永远最难以割舍的不是老婆，而是女儿。,2
怎么改变都是这么有气质,1
哈哈谢谢,5
建议你找点事情分散一下注意力，祝你好运！可以看一下喜剧片！,1
谢谢你的建议~,1
你要吃什么早餐?,3
沙煲伊面加个苹果。,0
3件事？,0
讲3句话离不开本行，做3件事当然离不开绵羊咯,0
要开心、,5
开心？开心不起来。听到他们的婚讯喜讯弄得我也想结婚了。,5
非常感谢前辈今日的电话连线~！希望前辈此行工作顺利！,1
感谢支持!!,1
不敢惊扰圣驾呢亲。,0
别废话了,3
普华永道会计师事务所，北京财富中心大厦,0
翻译正确。对某人感兴趣的请去此处截他。,0
我准备带二斤肉去，防身的，哈哈！,5
我准备左手一只鸡，右手一只鸭去！,0
很赞同也，我们家宝贝就特别喜欢在外面一到家就哼哼唧唧,1
哈哈！好可爱呦哼哼唧唧什么呢？,5
不够淡定,3
死了怎么办！你赔！,4
钊哥手机可以上微薄甘先进了？,0
是呀，都小康了手机还不能上微博太丢天朝脸了。,3
带埋我呀。我又要威！,2
去威团现已正式接受报名,0
老板太仁慈了，给了我75,1
再次恭喜！,5
看起来小娃娃似的女人。。。呼呼,0
要么我还是在你面前承认下老了把，,3
我中了,2
支持二的都举个手，看看央视的数据是否造假！,3
你们真的去了……,0
细的，带朋友去吃~,0
老流氓活得自在~,3
我特想看老流氓评论万峰老湿,3
"怎么,拉不出吗",3
不是，心里憋屈，真的真的扑母憋屈，你懂的,2
好帅呀，亲,1
等我们结婚会更帅的,1
那四川呢,0
幺妹儿、和瓜娃子、、你能说出武汉的吗,0
8月中旬等到我花儿都谢了.有空我回东城的时候就过去莞城找你玩好了,5
哈哈，拿多两张签名,5
比你一天录十几首那个学生还笨…,3
那位是我最有潜力的学生，简直无可比拟！,1
打车,0
还真来啊！那小伍怎么办！买杯送去？,4
你最近怎样阿?,0
最近可怜啊,2
硕硕来给姨妈亲一个…么么…,4
么么么么么~~,3
八错啊米道如何,4
"芒果冰的味道不错,但是料还是厦门的多",1
这点我同意，他说他写了诗第一个给我看，可是他哪年才写诗呢？,0
他说的是早年文学青年时期的诗。,0
我的电话号码多少？,2
别逼我说出来！！！,4
我一会和突子晚饭现场给你传送,0
真惊着我了！现在还没回神呢！,2
多么荡漾一个场面！还有继续延伸策划的么？,1
钟兄厉害，就前面两个字就把延伸策划做完了。,0
那是早就搞定了！,0
他这一抱实际抱了两人,0
好多好可爱的狗狗哦,1
超漂亮~我喜欢右边那个~漂亮啊,1
哈哈哈…你差不多了!,5
老子一巴掌给你呼过来哦,4
不要惹老婆生气一切都会好的,3
怎么老天在惩罚我么那有本事就在来的猛烈点吧,4
在合肥金寨路上也看到过。。。,0
那不就是我家门口。你被骚扰了。,4
有这美腿这辈子也值了,1
你的本就好看呐，真的真的好想火腿肠，这是褒义啊，绝对的,1
我跟她是哥与妹~但是我想要爱情现实却有点难异地真的那么不现实吗,2
妹你懂的最近很沸腾我败北了悲催啊,2
郭老板腰间挎的是手机吗？很本土哦！,1
据了解是计步器,0
就是佩服他这点。,1
但也难保这是他们炒作的方式，社会的水太深，不是我们小老百姓能够懂得,3
聪明！,1
爱你！！！,1
我也求药呢。。,2
唉…还是洗洗睡吧,2
耶！,5
哈哈，学姐，没人知道嘴角的秘密,5
麻花杠开，你还等她睡精神了请咱寿宁路呀,3
你们这些言论我怎么今天才看到呀,4
应该是酷毙了!,1
不错相当酷我喜欢。嘿嘿。,1
还耐乃区。我开学就要可哇,2
好好好开心拧个月一有零用就买把,5
出息！,0
这个叫知足~多么朴实的品质啊,1
恩早上跟其他车撞了我全责！！！,4
你全负责才扣这么点分啊！我要是交警我给你扣没了再处罚12000元罚款,4
一定出自大师之手。,1
哈哈…不是大师，是厨师…,5
我也想吃滴,0
很不错，刚才买的时候差点把口水掉在点菜单上,1
我们也是好不好,1
一个靠脸蛋一个靠口才还敢说是！,3
救人先救己，同意先生观点。,0
一定程度上可以说，欠外债有本事，欠内债没良心。,3
好想去江浙一带玩儿！！！,1
小科同学，北京如何啊,0
有爱很好很强大！,1
你要见到我了，高兴吧！哈哈！,5
真心真心真心难看，我周一就旷工离职,1
你不如直接带着辞职报告得了，明儿所有老板都在,4
谢谢啦,5
不客气，加油米露姐，永远支持你！,1
国庆什么时候出来浦啊妞。,5
可怜我只能在宿舍,2
很难吃的,3
这人太不行了,3
里面是否掺杂着钞票？,0
暗藏50元中移动充值卡,0
在浙江这里无聊啊,0
你过去探亲啦。哈哈，无聊才能让人放心吗对伐。,5
就是，宇宙他干爹的队,0
哈哈，宇宙他干爹队，有点意思！,5
然后把门都打开是不是很有立体影院的感觉？因为我家就是这样,1
太对了效果超棒的尤其是我那只大炸弹声音最大了,1
为个停车费至于吗？脑子有病吧！,3
肯定是平时嚣张惯了呀,3
建网站是吃力不讨好的事，铁老大是不会干这事的。,3
方便百姓的事怎么能是吃力不讨好？,3
哈哈跟随你们呢脚步,5
早应该跟随我们呢步伐,0
嘴嘴。我就是喜欢你这张可爱小巧的嘴,1
我也最喜欢你那小小的小脸勒！！！,1
去年电热毯把我床烧了,0
真的可怕我睡着的时候大火起我差点死在里面也救回一个家,2
还不睡觉你这个女人,4
习惯了晚睡,0
这在以前只是我的早餐的一部分……,0
照这么说，你减肥一定能成功的,0
甜嗲贱，不要脸。你做不到哦,1
所以我啊~看来我注定只能在男银堆里混了~,2
还有党国霸业,3
然后演绎春秋与战国的故事,0
唉。电影就是电影啊，哪有这么好的事发生在自己身上,2
唉所以讲也只能想想阿,2
好多人。,0
唔系了嘛……2011最受冤枉的人.,3
好巧我也在火车上也很痛苦,1
你去哪啊？这点还没睡呢？,4
你可以及时一点么,0
哈哈，我是一个落后的人，和时代脱轨了。,5
必须得谢谢我哈哈,1
你要不把我媳妇领回来的！怎么办！,4
是统一买的呀,0
哎呀也不想吖，自己明明有还要去买,2
爱你们！千言万语抵不过一首心语心愿哈哈哈！你们懂的！,1
心语心愿就是我们勒帮歌咯~,1
这是哪个角度拍的？,0
工作室的阳台，刚好对着厦大~,0
有后福，记得关照,0
佛祖显灵啊，我还没娶媳妇儿呢。不想死,2
